ltc-literal-pron,hanh-dzyh,tupa,hanh-dzyh-longer,tupa-longer,tupa-of-real,note
si-nga-pu-la,星(莪),seng-nga,星莪富羅,seng-nga-puh-la,sin-kae-pha,-e2
sit-nej,悉禰,sit-nejq,,,sit-nri,-ni3
bee-theon,牌(天),bee-then,,,put-liet-ten,
eng(-gy)-lan(-deo),瀴(蘭),qengq-lan,瀴其蘭陀,qengq-gy-lan-da,qyaeng-kaek-lan,ying1
khem-gyew,謙桥,khem-gyew,,,kyomh-gyew,gyew-qyh-jiaek
lon-don,崘屯,lon-don,,,lwin-ton,
nom-haem-thon,南闞,nom-haemh,南闞暾,nom-haemh-thon,nom-qan-phoq-ton,-han3tun1
beet-tot,拔柮,beet-tot,,,poh-lyq-sie-thak,ba2duo4
(sy-)kot-lan-deo,骨(蘭),kot-lan,司骨蘭陀,sy-kot-lan-da,so-kaek-lan,
e-din(-beo-zreo),曀田,qejh-den,曀田婆罗,qejh-den-ba-la,qeojh-teng-pawq,yi4tian2
phuaeng(-sy),豐(思),phung-sy,,,puop-lan-sej,feng1
pa-li,波梨,pa-li,,,pae-lej,
dou-wit,薱(欼),dojh-tsrhyq,,,teok-qyh-tjyh,dui4chi3
neh-deot-lan-deo,薾(迭),nejq-det,薾迭蘭陀,nejq-det-lan-da,gha-lan,er3
e-lie,靄(璃),qajh-lie,,,qeojh-njieq-lan,
u-sa,尤(娑),u-sa,,,myiq-lih-ken,
si-qah-loeuk,肆遏,sih-qat,肆遏犖,sih-qat-loeuk,sej-ngaeq-do,"Si'ahl siʔaɫ [ˈsiʔaːɬ] 或 私婀犖 si-qaq-loeuk"
niw-jouk,裊約,newq-qyak,,,nruq-qyak,niao3
qwa-sring-thon,渦珄,qwa-sryaeng,渦珄暾,qwa-sryaeng-thon,ghwae-djiaengh-tonh,-sheng1tun1
kha-na-da,珂(那),kha-na,珂那陀,kha-na-da,kae-nrae-dajh,
